Total ticket,Pourboire,Genre,Fumeur,Jour semaine,Service,Nb. couverts
16.99,1.01,Femme,Non,Dimanche,Dîner,2
10.34,1.66,Homme,Non,Dimanche,Dîner,3
21.01,3.5,Homme,Non,Dimanche,Dîner,3
23.68,3.31,Homme,Non,Dimanche,Dîner,2
24.59,3.61,Femme,Non,Dimanche,Dîner,4
25.29,4.71,Homme,Non,Dimanche,Dîner,4
8.77,2.0,Homme,Non,Dimanche,Dîner,2
26.88,3.12,Homme,Non,Dimanche,Dîner,4
15.04,1.96,Homme,Non,Dimanche,Dîner,2
14.78,3.23,Homme,Non,Dimanche,Dîner,2
10.27,1.71,Homme,Non,Dimanche,Dîner,2
35.26,5.0,Femme,Non,Dimanche,Dîner,4
15.42,1.57,Homme,Non,Dimanche,Dîner,2
18.43,3.0,Homme,Non,Dimanche,Dîner,4
14.83,3.02,Femme,Non,Dimanche,Dîner,2
21.58,3.92,Homme,Non,Dimanche,Dîner,2
10.33,1.67,Femme,Non,Dimanche,Dîner,3
16.29,3.71,Homme,Non,Dimanche,Dîner,3
16.97,3.5,Femme,Non,Dimanche,Dîner,3
20.65,3.35,Homme,Non,Samedi,Dîner,3
17.92,4.08,Homme,Non,Samedi,Dîner,2
20.29,2.75,Femme,Non,Samedi,Dîner,2
15.77,2.23,Femme,Non,Samedi,Dîner,2
39.42,7.58,Homme,Non,Samedi,Dîner,4
19.82,3.18,Homme,Non,Samedi,Dîner,2
17.81,2.34,Homme,Non,Samedi,Dîner,4
13.37,2.0,Homme,Non,Samedi,Dîner,2
12.69,2.0,Homme,Non,Samedi,Dîner,2
21.7,4.3,Homme,Non,Samedi,Dîner,2
19.65,3.0,Femme,Non,Samedi,Dîner,2
9.55,1.45,Homme,Non,Samedi,Dîner,2
18.35,2.5,Homme,Non,Samedi,Dîner,4
15.06,3.0,Femme,Non,Samedi,Dîner,2
20.69,2.45,Femme,Non,Samedi,Dîner,4
17.78,3.27,Homme,Non,Samedi,Dîner,2
24.06,3.6,Homme,Non,Samedi,Dîner,3
16.31,2.0,Homme,Non,Samedi,Dîner,3
16.93,3.07,Femme,Non,Samedi,Dîner,3
18.69,2.31,Homme,Non,Samedi,Dîner,3
31.27,5.0,Homme,Non,Samedi,Dîner,3
16.04,2.24,Homme,Non,Samedi,Dîner,3
17.46,2.54,Homme,Non,Dimanche,Dîner,2
13.94,3.06,Homme,Non,Dimanche,Dîner,2
9.68,1.32,Homme,Non,Dimanche,Dîner,2
30.4,5.6,Homme,Non,Dimanche,Dîner,4
18.29,3.0,Homme,Non,Dimanche,Dîner,2
22.23,5.0,Homme,Non,Dimanche,Dîner,2
32.4,6.0,Homme,Non,Dimanche,Dîner,4
28.55,2.05,Homme,Non,Dimanche,Dîner,3
18.04,3.0,Homme,Non,Dimanche,Dîner,2
12.54,2.5,Homme,Non,Dimanche,Dîner,2
10.29,2.6,Femme,Non,Dimanche,Dîner,2
34.81,5.2,Femme,Non,Dimanche,Dîner,4
9.94,1.56,Homme,Non,Dimanche,Dîner,2
25.56,4.34,Homme,Non,Dimanche,Dîner,4
19.49,3.51,Homme,Non,Dimanche,Dîner,2
38.01,3.0,Homme,Oui,Samedi,Dîner,4
26.41,1.5,Femme,Non,Samedi,Dîner,2
11.24,1.76,Homme,Oui,Samedi,Dîner,2
48.27,6.73,Homme,Non,Samedi,Dîner,4
20.29,3.21,Homme,Oui,Samedi,Dîner,2
13.81,2.0,Homme,Oui,Samedi,Dîner,2
11.02,1.98,Homme,Oui,Samedi,Dîner,2
18.29,3.76,Homme,Oui,Samedi,Dîner,4
17.59,2.64,Homme,Non,Samedi,Dîner,3
20.08,3.15,Homme,Non,Samedi,Dîner,3
16.45,2.47,Femme,Non,Samedi,Dîner,2
3.07,1.0,Femme,Oui,Samedi,Dîner,1
20.23,2.01,Homme,Non,Samedi,Dîner,2
15.01,2.09,Homme,Oui,Samedi,Dîner,2
12.02,1.97,Homme,Non,Samedi,Dîner,2
17.07,3.0,Femme,Non,Samedi,Dîner,3
26.86,3.14,Femme,Oui,Samedi,Dîner,2
25.28,5.0,Femme,Oui,Samedi,Dîner,2
14.73,2.2,Femme,Non,Samedi,Dîner,2
10.51,1.25,Homme,Non,Samedi,Dîner,2
17.92,3.08,Homme,Oui,Samedi,Dîner,2
27.2,4.0,Homme,Non,Jeudi,Déjeuner,4
22.76,3.0,Homme,Non,Jeudi,Déjeuner,2
17.29,2.71,Homme,Non,Jeudi,Déjeuner,2
19.44,3.0,Homme,Oui,Jeudi,Déjeuner,2
16.66,3.4,Homme,Non,Jeudi,Déjeuner,2
10.07,1.83,Femme,Non,Jeudi,Déjeuner,1
32.68,5.0,Homme,Oui,Jeudi,Déjeuner,2
15.98,2.03,Homme,Non,Jeudi,Déjeuner,2
34.83,5.17,Femme,Non,Jeudi,Déjeuner,4
13.03,2.0,Homme,Non,Jeudi,Déjeuner,2
18.28,4.0,Homme,Non,Jeudi,Déjeuner,2
24.71,5.85,Homme,Non,Jeudi,Déjeuner,2
21.16,3.0,Homme,Non,Jeudi,Déjeuner,2
28.97,3.0,Homme,Oui,Vendredi,Dîner,2
22.49,3.5,Homme,Non,Vendredi,Dîner,2
5.75,1.0,Femme,Oui,Vendredi,Dîner,2
16.32,4.3,Femme,Oui,Vendredi,Dîner,2
22.75,3.25,Femme,Non,Vendredi,Dîner,2
40.17,4.73,Homme,Oui,Vendredi,Dîner,4
27.28,4.0,Homme,Oui,Vendredi,Dîner,2
12.03,1.5,Homme,Oui,Vendredi,Dîner,2
21.01,3.0,Homme,Oui,Vendredi,Dîner,2
12.46,1.5,Homme,Non,Vendredi,Dîner,2
11.35,2.5,Femme,Oui,Vendredi,Dîner,2
15.38,3.0,Femme,Oui,Vendredi,Dîner,2
44.3,2.5,Femme,Oui,Samedi,Dîner,3
22.42,3.48,Femme,Oui,Samedi,Dîner,2
20.92,4.08,Femme,Non,Samedi,Dîner,2
15.36,1.64,Homme,Oui,Samedi,Dîner,2
20.49,4.06,Homme,Oui,Samedi,Dîner,2
25.21,4.29,Homme,Oui,Samedi,Dîner,2
18.24,3.76,Homme,Non,Samedi,Dîner,2
14.31,4.0,Femme,Oui,Samedi,Dîner,2
14.0,3.0,Homme,Non,Samedi,Dîner,2
7.25,1.0,Femme,Non,Samedi,Dîner,1
38.07,4.0,Homme,Non,Dimanche,Dîner,3
23.95,2.55,Homme,Non,Dimanche,Dîner,2
25.71,4.0,Femme,Non,Dimanche,Dîner,3
17.31,3.5,Femme,Non,Dimanche,Dîner,2
29.93,5.07,Homme,Non,Dimanche,Dîner,4
10.65,1.5,Femme,Non,Jeudi,Déjeuner,2
12.43,1.8,Femme,Non,Jeudi,Déjeuner,2
24.08,2.92,Femme,Non,Jeudi,Déjeuner,4
11.69,2.31,Homme,Non,Jeudi,Déjeuner,2
13.42,1.68,Femme,Non,Jeudi,Déjeuner,2
14.26,2.5,Homme,Non,Jeudi,Déjeuner,2
15.95,2.0,Homme,Non,Jeudi,Déjeuner,2
12.48,2.52,Femme,Non,Jeudi,Déjeuner,2
29.8,4.2,Femme,Non,Jeudi,Déjeuner,6
